Id,age,education,marital,campaign_response
1,68,graduation,single,1
2,71,graduation,single,0
3,60,graduation,together,0
4,41,graduation,together,0
5,44,phd,married,0
6,58,master,together,0
7,54,graduation,divorced,0
8,40,phd,married,0
9,51,phd,together,1
10,75,phd,together,0
11,42,graduation,married,0
12,49,basic,married,0
13,66,graduation,divorced,0
14,73,master,divorced,0
15,38,graduation,married,0
16,79,phd,single,1
17,45,graduation,married,0
18,79,graduation,together,0
19,76,master,married,0
20,40,2n cycle,single,0
21,43,graduation,married,0
22,46,graduation,married,0
23,76,phd,married,0
24,71,phd,married,0
25,74,graduation,together,0
26,56,graduation,single,0
27,49,graduation,married,0
28,39,graduation,single,0
29,36,graduation,married,0
30,60,phd,married,0
31,36,master,divorced,0
32,62,master,together,0
33,55,graduation,together,0
34,73,phd,divorced,1
35,79,master,married,0
36,74,master,single,0
37,55,phd,married,0
38,49,2n cycle,married,0
39,52,graduation,widow,0
40,82,phd,divorced,1
41,45,graduation,married,0
42,40,master,married,0
43,68,graduation,together,0
44,66,phd,single,0
45,50,master,married,0
46,49,graduation,single,0
47,29,2n cycle,married,1
48,57,graduation,together,0
49,74,graduation,single,0
50,71,phd,married,0
51,68,graduation,widow,0
52,61,master,married,0
53,48,graduation,single,0
54,48,graduation,divorced,1
55,47,graduation,married,0
56,70,master,together,1
57,59,graduation,divorced,1
58,37,graduation,single,0
59,43,graduation,single,0
60,57,phd,married,0
61,43,master,single,1
62,50,graduation,together,0
63,73,graduation,single,0
64,74,phd,widow,0
65,77,graduation,together,0
66,54,graduation,married,1
67,58,graduation,together,0
68,46,2n cycle,single,1
69,67,graduation,together,0
70,55,graduation,together,0
71,71,master,married,0
72,52,2n cycle,married,0
73,66,graduation,married,0
74,50,phd,married,0
75,73,graduation,married,0
76,48,graduation,divorced,0
77,53,master,married,1
78,49,graduation,single,1
79,49,2n cycle,together,0
80,60,graduation,together,1
81,40,graduation,single,0
82,56,graduation,married,0
83,52,2n cycle,married,0
84,62,master,together,0
85,38,graduation,divorced,0
86,65,graduation,married,0
87,55,master,married,0
88,68,graduation,single,1
89,52,graduation,married,0
90,58,graduation,together,0
91,68,phd,married,0
92,68,graduation,single,0
93,52,master,together,0
94,53,master,single,0
95,55,phd,married,0
96,42,graduation,married,0
97,65,graduation,widow,0
98,53,graduation,divorced,0
99,74,2n cycle,married,0
100,42,phd,married,0
101,65,2n cycle,single,0
102,66,phd,single,0
103,46,graduation,together,0
104,80,phd,married,0
105,66,graduation,married,1
106,46,basic,together,0
107,61,graduation,married,0
108,56,graduation,married,0
109,47,graduation,single,0
110,65,master,married,0
111,46,graduation,together,0
112,34,phd,single,1
113,62,master,together,0
114,34,graduation,single,1
115,45,phd,married,0
116,63,graduation,single,0
117,55,graduation,married,0
118,47,2n cycle,married,0
119,58,2n cycle,together,0
120,56,graduation,together,0
121,72,master,together,0
122,58,master,single,1
123,40,master,married,0
124,49,graduation,divorced,0
125,42,graduation,single,1
126,60,2n cycle,together,0
127,41,graduation,single,1
128,72,master,married,0
129,64,phd,married,0
130,69,phd,together,0
131,73,graduation,married,0
132,67,master,alone,0
133,56,graduation,married,0
134,62,graduation,married,0
135,61,phd,married,0
136,58,phd,together,0
137,49,basic,divorced,0
138,66,phd,married,0
139,52,phd,alone,1
140,60,phd,divorced,0
141,33,master,single,0
142,49,master,together,1
143,63,graduation,married,0
144,51,phd,single,0
145,37,graduation,together,0
146,49,graduation,married,0
147,50,graduation,married,1
148,44,graduation,together,0
149,52,2n cycle,married,0
150,59,master,married,0
151,72,master,married,0
152,56,graduation,married,0
153,53,2n cycle,together,0
154,37,graduation,alone,0
155,73,phd,together,0
156,76,graduation,together,1
157,67,graduation,single,0
158,47,graduation,single,0
159,48,graduation,together,0
160,70,graduation,single,0
161,67,master,single,0
162,80,phd,married,0
163,41,graduation,married,0
164,50,phd,divorced,0
165,52,phd,married,0
166,59,graduation,together,0
167,72,graduation,divorced,0
168,66,graduation,divorced,0
169,37,graduation,single,0
170,68,graduation,together,0
171,60,graduation,together,0
172,43,graduation,married,0
173,55,graduation,married,0
174,66,phd,together,0
175,58,graduation,single,0
176,50,phd,married,0
177,77,phd,married,1
178,55,phd,married,0
179,66,graduation,together,0
180,74,2n cycle,married,0
181,49,phd,married,0
182,37,2n cycle,married,0
183,79,master,married,0
184,41,master,married,0
185,64,basic,married,0
186,42,graduation,married,0
187,55,phd,single,0
188,59,graduation,married,0
189,49,graduation,married,0
190,61,phd,married,0
191,47,basic,together,0
192,36,phd,together,0
193,125,2n cycle,divorced,0
194,37,graduation,married,0
195,52,graduation,married,0
196,48,graduation,married,0
197,45,master,married,0
198,71,graduation,married,0
199,71,graduation,married,0
200,52,phd,single,1
201,73,graduation,divorced,0
202,57,graduation,single,0
203,47,graduation,divorced,0
204,48,phd,together,1
205,60,phd,single,0
206,41,master,single,1
207,37,graduation,together,0
208,62,master,divorced,0
209,59,graduation,married,0
210,71,graduation,divorced,1
211,69,graduation,together,0
212,71,graduation,together,0
213,57,phd,married,0
214,51,master,together,0
215,40,graduation,married,0
216,48,graduation,married,0
217,47,2n cycle,single,0
218,77,master,married,0
219,71,master,widow,0
220,45,graduation,together,0
221,37,2n cycle,together,0
222,56,graduation,married,0
223,55,phd,together,0
224,45,phd,married,0
225,63,graduation,divorced,0
226,47,graduation,together,0
227,49,graduation,together,0
228,73,graduation,divorced,0
229,53,phd,married,0
230,39,phd,together,0
231,59,graduation,single,1
232,63,2n cycle,divorced,0
233,54,graduation,together,0
234,74,graduation,single,0
235,60,phd,married,0
236,50,2n cycle,married,0
237,43,master,together,0
238,67,phd,single,0
239,52,graduation,single,0
240,132,2n cycle,single,0
241,57,graduation,widow,0
242,67,graduation,together,0
243,54,graduation,single,0
244,35,graduation,married,1
245,67,graduation,married,0
246,61,phd,married,0
247,53,graduation,married,1
248,72,graduation,married,0
249,37,phd,married,0
250,56,master,together,0
251,50,master,single,0
252,40,graduation,single,0
253,51,graduation,divorced,1
254,67,2n cycle,together,0
255,58,graduation,together,0
256,51,phd,single,0
257,64,phd,together,0
258,61,graduation,single,0
259,61,graduation,single,0
260,68,phd,single,0
261,46,graduation,divorced,1
262,57,phd,divorced,0
263,55,master,married,0
264,47,phd,married,0
265,73,master,together,1
266,59,master,married,0
267,62,graduation,married,0
268,55,phd,married,1
269,55,graduation,married,0
270,55,graduation,together,0
271,72,graduation,single,1
272,42,master,single,0
273,50,phd,together,0
274,65,graduation,married,0
275,62,graduation,divorced,0
276,62,phd,together,0
277,69,graduation,single,1
278,44,master,together,0
279,39,phd,single,1
280,57,master,divorced,0
281,44,basic,married,0
282,49,graduation,together,0
283,79,graduation,together,0
284,51,phd,together,0
285,50,master,married,0
286,51,graduation,married,0
287,73,graduation,together,0
288,69,master,together,0
289,59,graduation,widow,0
290,76,master,divorced,0
291,41,2n cycle,together,0
292,56,graduation,together,0
293,45,graduation,married,0
294,54,graduation,together,0
295,60,graduation,together,0
296,73,master,together,0
297,37,2n cycle,divorced,0
298,39,master,together,0
299,43,graduation,single,0
300,60,phd,divorced,0
301,67,graduation,divorced,0
302,69,2n cycle,together,0
303,47,phd,married,0
304,37,graduation,single,0
305,41,graduation,together,0
306,64,master,married,0
307,59,graduation,widow,1
308,78,graduation,single,0
309,61,master,married,0
310,33,master,together,0
311,49,graduation,divorced,0
312,58,graduation,married,0
313,36,graduation,married,0
314,49,master,single,0
315,59,graduation,married,0
316,69,master,together,0
317,53,graduation,married,0
318,40,graduation,single,0
319,74,graduation,married,0
320,55,graduation,single,0
321,54,graduation,married,0
322,51,graduation,married,0
323,60,phd,divorced,0
324,64,phd,divorced,0
325,72,graduation,single,0
326,68,graduation,married,0
327,49,phd,divorced,0
328,41,graduation,married,0
329,75,phd,married,0
330,39,phd,single,0
331,42,graduation,single,0
332,36,phd,single,0
333,69,phd,married,1
334,54,master,married,1
335,42,graduation,together,0
336,65,graduation,divorced,0
337,57,graduation,divorced,1
338,53,graduation,married,0
339,60,graduation,together,1
340,126,phd,together,0
341,37,graduation,single,0
342,39,graduation,divorced,0
343,56,phd,married,0
344,75,phd,together,0
345,52,basic,together,1
346,73,graduation,divorced,0
347,60,graduation,married,0
348,55,graduation,divorced,1
349,54,graduation,widow,0
350,49,master,married,0
351,68,graduation,married,0
352,39,graduation,married,0
353,59,phd,single,1
354,51,graduation,married,0
355,49,phd,single,0
356,47,graduation,single,0
357,70,graduation,married,0
358,56,phd,married,0
359,82,master,married,0
360,77,phd,together,0
361,68,graduation,married,0
362,56,phd,widow,0
363,47,graduation,married,0
364,47,phd,married,0
365,58,graduation,married,0
366,56,graduation,single,0
367,65,graduation,married,0
368,49,graduation,divorced,0
369,63,graduation,together,0
370,50,phd,single,0
371,41,2n cycle,married,0
372,50,graduation,married,0
373,55,master,single,0
374,59,graduation,single,0
375,53,phd,single,1
376,50,master,single,0
377,55,graduation,single,1
378,36,graduation,single,0
379,64,phd,together,0
380,56,graduation,single,0
381,56,phd,married,0
382,40,graduation,married,0
383,71,graduation,widow,0
384,52,2n cycle,married,0
385,44,master,single,0
386,54,graduation,single,0
387,57,master,together,1
388,65,graduation,together,0
389,76,graduation,together,0
390,57,phd,divorced,0
391,46,graduation,together,0
392,46,master,together,0
393,32,graduation,single,0
394,79,phd,married,0
